0	Kegan Mountain	CB	5-11	180	So.	Omaha, Neb.	Millard West HS	
1	Daniel Britt	QB	5-11	190	Jr.	Las Vegas, Nev.	Liberty HS	Northern Arizona
1	Ivan Martin	DB	5-11	180	Jr.	Glendale, Ariz.	Saguaro HS	
2	Tanner Branson	WR	6-0	185	Jr.	Eugene, Ore.	Churchill HS	Golden West Co.
2	Elijah Jopp	DB	6-2	185	Jr.	Mayer, Minn.	Mayer Lutheran	
3	Cruz Soulek	QB	6-3	200	Fr.	Chamberlain, S.D.	Chamberlain HS	
3	Lynden Williams	DB	6-2	190	R-Sr.	Huron, S.D.	Wolsey Wessington HS	
4	Azariah Atonio	QB	6-2	210	Fr.	Anchorage, Alaska	West Anchorage HS	
4	Jacob Romero	DB	5-10	180	Jr.	Honolulu, Hawaii	Bishop Manogue Catholic	Lincoln University
5	Andy Blazevich	DB	5-11	180	Sr.	Sioux Falls, S.D.	Lincoln HS	
5	Colton Hackel	QB	6-2	220	R-So.	Perham, Minn.	Perham HS	
6	Brady Bauer	DB	5-10	160	Jr.	Mobridge, S.D.	Mobridge-Pollock HS	
6	Jacob Van?Landingham	TE	5-11	220	6th	Franklin, Tenn.	Fred J. Page HS	Virginia Tech
7	Jett Carlson	P	6-4	180	Fr.	Aberdeen, S.D.	Central HS	
7	Zach Jorgensen	WR	6-3	195	R-Fr.	Fairmont, Minn.	Fairmont HS	Minnesota
9	Julian Scott	WR	6-0	175	So.	Rapid City, S.D.	Stevens HS	
9	Ethan Vis	DB	6-0	175	Fr.	Tea, S.D.	Tea Area HS	
10	Ethan Barnett	P	6-3	220	Gr.	Chino Hills, Calif.	Chino Hills HS	
10	Ty Wiley	WR	6-0	175	Gr.	Columbus, Ohio	Pickerington North HS	Ohio Dominican
11	Kiyon Johnston	DB	5-10	160	Fr.	Denver, Colo.	Cherry Creek HS	
11	Anthony Vespo	QB	6-3	220	Sr.	Bolingbrook, Ill.	Bolingbrook HS	Missouri Western State
12	Jamari Allen	DB	6-1	200	Fr.	Omaha, Neb.	Harry A. Burke HS	
12	Colin Fritton	WR	5-11	180	So.	Lincoln, Neb.	Lincoln Southwest HS	
13	CJ Gainey	S	5-11	175	Fr.	Huron, S.D.	Huron HS	
13	Maxamillion Thomson	QB	6-3	220	Jr.	Sioux Falls, S.D.	Washington HS	
14	Luke Gunderson	LB	6-3	215	Sr.	Buffalo, Minn.	Buffalo HS	
15	Rayvelle Leak	RB	5-11	180	Fr.	Kansas City, Kan.	Wichita East HS	
16	Nate Kollath	QB	6-3	225	Fr.	Sussex, Wis.	Sussex Hamilton	
17	Charlie Larson	LB	6-3	205	Sr.	Rapid City, S.D.	St.Thomas More	
18	Tom Ellard	P	6-0	170	Jr.	Melbourne, Australia	Seda	Western Kentucky
19	Jaden Feterl	LB	6-3	215	R-Jr.	Sioux Falls, S.D.	Washington HS	North Dakota
20	Luke Manos	LB	6-0	205	Sr.	San Diego, Calif.	Rancho Bernardo HS	Palomar College
21	Hank Kraft	RB	5-9	200	So.	Timber Lake, S.D.	Timber Lake HS	
22	Cade Kaiser	WR	6-2	190	Fr.	Pierre, S.D.	T.F. Riggs HS	
22	Brock Pedersen	K	5-10	180	Fr.	Cheyenne, Wyo.	Cheyenne Central HS	
23	Noah Smith	RB	6-0	180	Jr.	Rochester, Minn.	Rochester Mayo	
